kappa,lambda,mag
0.0375,0.027,0.0008602482604715
0.2,0.0248,3.622093845223701
0.1625,0.0225,2.7684820649509803
0.15,0.0263,2.1924966936488173
0.0875,0.018,0.0012839489112121
0.075,0.0165,0.0010562494736926
0.2875,0.0233,5.381080000000001
0.0375,0.009,0.0009200458707777
0.0625,0.0105,0.0010279809064246
0.1,0.0075,0.0015930402877437
0.0125,0.0248,0.0009335218828022
0.175,0.0135,3.9765407607994847
0.175,0.006,5.859281168749999
0.0375,0.0052,0.0009763643052364
0.2,0.0165,4.379442305371152
0.1875,0.0097,5.161332584269663
0.0875,0.0143,0.0012609264261447
0.1875,0.0203,3.652915834394904
0.0625,0.0037,0.0009257833531623
0.2875,0.0015,20.840638850174216
0.175,0.0128,4.084657094873306
0.0,0.0037,0.0010528948722484
0.125,0.0045,0.997310842519685
0.175,0.018,3.4798046258907367
0.225,0.0158,5.137650730509515
0.2875,0.0285,4.87912554347826
0.0,0.0255,0.0011054373636535
0.1375,0.0075,2.768259864364982
0.1,0.0203,0.0017832966610883
0.2625,0.0225,5.044115204460967
0.1625,0.0052,5.437778845671266
0.0625,0.003,0.0009894536633129
0.15,0.0203,2.4362382603174604
0.075,0.0067,0.0009822827782503
0.1625,0.0255,2.6229974798261955
0.2625,0.0218,5.126992957151479
0.1,0.003,0.0013449258511387
0.2375,0.0015,17.349323937153418
0.1375,0.015,2.080768492555831
0.0375,0.012,0.0009651860184512
0.0625,0.0293,0.0010571169722131
0.175,0.003,8.22583759602649
0.2125,0.012,5.492289424504951
0.0875,0.0218,0.0011715210648326
0.2125,0.0045,8.87564125823452
0.2375,0.0285,4.097313767045455
0.1625,0.0285,2.50215889292196
0.0375,0.0075,0.000951239022371
0.125,0.0113,0.9975966565781346
0.1875,0.0255,3.28665362597715
0.15,0.009,3.479759695863747
0.1125,0.0158,0.0024711308251849
0.2625,0.015,6.137184838513102
0.25,0.003,12.948570097442143
0.1375,0.006,3.0544376478232618
0.125,0.0075,0.9976030424588084
0.2125,0.0075,6.904014600879951
0.0375,0.0203,0.0009109811012616
0.1375,0.0248,1.737005103359173
0.0875,0.0135,0.0013567848704975
0.2,0.0113,5.259764360218314
0.0125,0.006,0.0010279388908291
0.2,0.003,10.049786691312384
0.075,0.0113,0.0010626772596687
0.2375,0.0135,5.859370287286064
0.2625,0.0023,15.666614214214214
0.2625,0.009,7.880957161629436
0.1625,0.0015,10.049682280130291
0.275,0.024,5.098912093730979
0.25,0.0218,4.89769174807198
0.1625,0.024,2.6921282616381856
0.175,0.0278,2.864488700636943
0.2125,0.0037,9.712453637532134
0.05,0.0218,0.0010291804449692
0.125,0.0105,0.9971249908376962
0.0125,0.0195,0.0009820522900276
0.05,0.0225,0.0009318447519135
0.2,0.0293,3.35481506547619
0.1125,0.0188,0.0023491304188464
0.1,0.0052,0.0014545628882181
0.225,0.024,4.202985727754862
0.0625,0.0158,0.0009775482120116
0.075,0.0135,0.0010208956729123
0.0625,0.0067,0.00104376197079
0.25,0.0278,4.3608345063879215
0.025,0.0135,0.0010343520885622
0.0625,0.0225,0.0009634479871162
0.025,0.0,0.0009573589228542
0.2875,0.0248,5.22128002496879
0.1,0.018,0.002207074087425
0.1375,0.0008,8.225789013480393
0.25,0.0248,4.604426770379589
0.2,0.0135,4.818794243161094
0.1375,0.0045,3.4796133466666666
0.1125,0.0,0.0018913463400443
0.125,0.0082,0.9974713936305732
0.05,0.0278,0.0008747120305295
0.2625,0.0173,5.734331761533853
0.2375,0.0165,5.317082888198758
0.2125,0.009,6.315666761968085
0.1125,0.0015,0.0020199648075591
0.025,0.006,0.0008685980530261
0.0875,0.0023,0.0011315045804249
0.175,0.0233,3.098478804491413
0.1,0.0285,0.0016629691978198
0.2,0.0195,4.047579601571268
0.2125,0.0143,5.055664834834833
0.275,0.0135,6.741148792207792
0.1375,0.0128,2.217616369268897
0.15,0.0075,3.785623039215686
0.2375,0.0225,4.582422002503129
0.2625,0.003,13.576903250478011
0.075,0.0143,0.0010793732989285
0.1625,0.018,3.054651147227533
0.0,0.0082,0.0010925290015807
0.175,0.0218,3.1927282928275047
0.1,0.0037,0.0012720223525177
0.2875,0.0008,29.45614672064777
0.0,0.0113,0.0010649194398246
0.1,0.0143,0.0013795340019582
0.15,0.021,2.399893455562461
0.0375,0.0105,0.0008642683648611
0.1625,0.0128,3.572441458465441
0.2125,0.0255,3.837199828536436
0.225,0.0263,4.02950523125
0.2875,0.0293,4.818846795481569
0.0,0.0052,0.0010932203846796
0.0625,0.0218,0.0010056057916737
0.0125,0.0052,0.0010514046419824
0.1125,0.0173,0.0023347005077784
0.075,0.0023,0.0010717069601875
0.15,0.0143,2.831069483870968
0.1625,0.0045,5.859272981680355
0.05,0.0285,0.000896902254931
0.0875,0.0203,0.0011591663625975
0.175,0.0113,4.333099388619855
0.275,0.0218,5.346492109623964
0.225,0.0015,16.36047553763441
0.1375,0.0097,2.4748584825870648
0.1,0.012,0.0014938142385197
0.2875,0.0203,5.753067567389875
0.125,0.0203,0.9976936649874056
0.2375,0.0008,24.51526625475285
0.075,0.024,0.0010382780844698
0.2,0.027,3.47987141954023
0.2,0.0082,6.112436645529487
0.1875,0.0165,4.018710421329822
0.0625,0.018,0.0009727246651702
0.2625,0.012,6.843383337292161
0.025,0.0218,0.0008554228586039
0.1875,0.0008,18.284703633004927
0.15,0.012,3.0546441241830067
0.2125,0.018,4.521388048192772
0.05,0.0113,0.0010112704583436
0.125,0.0285,0.9976567158739964
0.2875,0.0037,13.203468111201962
0.15,0.0165,2.6567139197930145
0.1625,0.0135,3.479808595933926
0.0125,0.012,0.000981956092725
0.1375,0.0067,2.8989341917293228
0.25,0.0255,4.539455702075703
0.15,0.0067,3.97639377406932
0.025,0.024,0.0008471051650301
0.25,0.0067,8.664486102532427
0.225,0.027,3.9765937184750735
0.1625,0.0293,2.475053671679198
0.0875,0.0278,0.0012708363408326
0.1375,0.027,1.687669798041615
0.075,0.0195,0.0011402968570969
0.2625,0.0293,4.4499425360576925
0.25,0.0,35.9139
0.275,0.0195,5.636333551171394
0.0875,0.0008,0.0012324009596447
0.1125,0.027,0.0024676674818583
0.0875,0.012,0.0013462181076166
0.1875,0.0128,4.539411590482154
0.0625,0.0,0.0009696612354745
0.1875,0.0233,3.427912287166455
0.225,0.0173,4.918071270543615
0.0125,0.0165,0.0010116817319673
0.1625,0.0203,2.899206262437811
0.2375,0.0293,4.047619399213924
0.025,0.0173,0.0009138178615219
0.0,0.0173,0.0010912466918015
0.2,0.0015,14.177375221238938
0.2375,0.0263,4.259278412794207
0.2375,0.0173,5.204386339004412
0.0125,0.0067,0.0010569603436471
0.2625,0.0135,6.460636851963746
0.25,0.027,4.417832142857143
0.1375,0.0278,1.6729100310366232
0.0625,0.0075,0.0010166715698541
0.075,0.027,0.0011699449563262
0.1125,0.006,0.0019896223519371
0.275,0.0278,4.756099835234474
0.075,0.012,0.0010563784335159
0.175,0.0015,11.5901712896954
0.0875,0.0067,0.0011720107530541
0.075,0.003,0.0010570509534702
0.1125,0.0233,0.0026834516015226
0.2625,0.0097,7.576887240729102
0.2375,0.0158,5.437838666666668
0.2375,0.0233,4.51150256455399
0.0375,0.0263,0.0008883120241229
0.025,0.0143,0.0009370583810117
0.0125,0.003,0.0010296417355455
0.0125,0.0113,0.0010173455870115
0.0,0.0188,0.001053294506437
0.075,0.0188,0.0010403718218134
0.2,0.0143,4.695850259128386
0.1375,0.021,1.8379240589711416
0.075,0.0293,0.0011315112743818
0.2125,0.0173,4.613907955528104
0.0,0.006,0.0010714673885504
0.2125,0.0008,21.625539622641508
0.0625,0.009,0.0010105417126188
0.0625,0.021,0.0010141990427799
0.175,0.0037,7.3710166200931475
0.275,0.027,4.818825986560782
0.025,0.0023,0.0009669706871386
0.1875,0.0173,3.935850053475936
0.1375,0.0,153.118
0.175,0.027,2.899217349319508
0.1875,0.0082,5.594732431466031
0.125,0.009,0.9973447165706972
0.0875,0.0225,0.0012209465402744
0.275,0.0143,6.565363195153061
0.0875,0.0293,0.0012550384822836
0.2875,0.0263,5.075508278588808
0.075,0.0052,0.0010072637467474
0.0375,0.0097,0.0009775243276815
0.25,0.0143,6.007189455108359
0.125,0.0143,0.9972104360852198
0.2375,0.0067,8.225919164124466
0.0875,0.0113,0.0011627070523058
0.05,0.0188,0.0009780968112239
0.0,0.0135,0.0011018695431066
0.2125,0.0248,3.890980086256469
0.15,0.0008,11.590148432288192
0.125,0.0097,0.9969322414473684
0.1625,0.0023,8.225763607503609
0.2875,0.0225,5.467009273049646
0.075,0.009,0.0010110118799563
0.1125,0.021,0.0023860676776565
0.0125,0.0218,0.000944598060199
0.1875,0.009,5.364342918719212
0.1125,0.015,0.0022399660175909
