kappa,lambda,mag
0.2875,0.0158,6.501449333740832
0.0125,0.0,0.0009601454629495
0.2,0.006,7.14128730259002
0.25,0.0173,5.47578215
0.0125,0.0173,0.0009537432600553
0.225,0.0082,7.034452069632496
0.2875,0.0195,5.859352835443039
0.15,0.0285,2.122880555555556
0.1375,0.0037,3.785464111738857
0.075,0.0097,0.0011824516838466
0.0375,0.0008,0.0009670857520251
0.0875,0.003,0.0011133341252377
0.15,0.0045,4.818627692307692
0.25,0.0135,6.167328008684863
0.025,0.0008,0.0009216417102548
0.1125,0.0225,0.0025181012139872
0.15,0.015,2.768443206590621
0.025,0.0165,0.0008785845366454
0.025,0.0067,0.0009126919737237
0.0375,0.0113,0.000923100184532
0.05,0.0293,0.0009609378413028
0.1,0.0105,0.0016563943863025
0.225,0.0128,5.689548107594937
0.1625,0.0195,2.947846222080409
0.0875,0.0075,0.001249945677366
0.0625,0.0143,0.001025782503752
0.075,0.0203,0.0010180571373281
0.0,0.024,0.0010686536967906
0.225,0.0023,13.370705886075951
0.1125,0.0113,0.0020508163209483
0.25,0.0128,6.34150320610687
0.1,0.0082,0.0015813433823845
0.1375,0.0195,1.886943258499038
0.0125,0.0075,0.0010125839238053
0.1125,0.0203,0.0023658659248694
0.0375,0.0225,0.0008870683945934
0.125,0.0225,0.9978256827105764
0.225,0.006,8.225883096646943
0.175,0.015,3.785672729528536
0.0625,0.024,0.0010102605702227
0.0875,0.0195,0.0011998288991418
0.025,0.0045,0.0009489943779468
0.075,0.0015,0.0009762941348148
0.2125,0.0097,6.074223635778636
0.2125,0.015,4.932734248798075
0.1,0.0255,0.0015707316290985
0.0625,0.0195,0.0009454359996641
0.05,0.0248,0.0010032947886433
0.1125,0.0195,0.0023824511765589
0.275,0.0037,12.688515548780488
0.15,0.0248,2.2444521882494004
0.025,0.0037,0.0009407588534817
0.0375,0.0285,0.0009473868409212
0.25,0.0188,5.259791799373041
0.1875,0.0052,6.9725818968809685
0.225,0.021,4.477296593059937
0.1125,0.0143,0.0023516357955491
0.1625,0.0067,4.818723994202899
0.15,0.006,4.202858615582744
0.05,0.0,0.0009433248465752
0.0875,0.0285,0.0013476066627075
0.125,0.0188,0.9974443410553412
0.2125,0.0158,4.818822501395868
0.0625,0.0278,0.0010600309929879
0.0,0.0015,0.001045766034955
0.1,0.0165,0.0016577069543617
0.05,0.0097,0.0009460224455208
0.0625,0.0263,0.0010078725378283
0.0,0.0008,0.0010905860426289
0.25,0.009,7.520263360148515
0.075,0.0158,0.0010436558122072
0.275,0.0158,6.252529038461538
0.2375,0.0082,7.452787693773824
0.0,0.021,0.0010860673608922
0.2375,0.0248,4.379540783718105
0.025,0.018,0.0009282999692698
0.15,0.0037,5.259704098062954
0.175,0.0143,3.877222544019429
0.075,0.0173,0.0010422412501155
0.2375,0.0075,7.810157691275167
0.05,0.0023,0.0008706627561157
0.125,0.0023,0.9947848335509138
0.0625,0.0255,0.0010813403229692
0.0375,0.0067,0.0008409449542965
0.1,0.0015,0.0012459316269731
0.2,0.0097,5.636269235109718
0.05,0.0082,0.0008366710309578
0.0875,0.0263,0.0013708866452195
0.25,0.0037,11.59016803995006
0.2,0.0278,3.4364465176470587
0.2375,0.0097,6.8667384
0.15,0.0225,2.3326489942344653
0.025,0.0225,0.000921531144383
0.25,0.0052,9.810013753101735
0.0,0.0105,0.0010844179957797
0.025,0.0158,0.0009353081146067
0.175,0.009,4.818715786802031
0.0875,0.0037,0.0011516348384686
0.275,0.0067,9.480883265807243
0.1875,0.0285,3.1257164316370325
0.275,0.021,5.437875722469765
0.025,0.0075,0.0009165877222444
0.275,0.0075,8.999941247771835
0.225,0.0008,23.11559023941068
0.275,0.0052,10.737067919951484
0.175,0.0105,4.477238992395437
0.0625,0.0128,0.0009504933875699
0.1875,0.006,6.531833382731959
0.2,0.0052,7.625061946394384
0.025,0.0263,0.0009306202296866
0.0375,0.018,0.0008514475780211
0.075,0.018,0.0010345304272279
0.25,0.0082,7.84886019399249
0.0375,0.0165,0.0009012613421022
0.275,0.0008,28.301911528822057
0.0125,0.0015,0.0009298668276234
0.1375,0.0158,2.0422851660516605
0.15,0.027,2.1681917221510885
0.1625,0.0248,2.65676014511041
0.15,0.0255,2.217827841269841
0.1125,0.0293,0.0029294453677455
0.0375,0.0248,0.0009184394606148
0.175,0.0075,5.259675832266325
0.0625,0.0045,0.0010701895086913
0.175,0.0097,4.637975391304348
0.225,0.0143,5.391541131957474
0.025,0.0082,0.0008699952920723
0.225,0.0278,3.925932881745121
0.1875,0.0195,3.717339802469136
0.15,0.024,2.2724044417177915
0.0,0.015,0.0010762595207539
0.1625,0.0113,3.785595083277815
0.2875,0.0097,8.225945611464969
0.2625,0.0255,4.750518255291854
0.275,0.0082,8.586388082368083
0.1,0.0097,0.0016950378568085
0.0375,0.0173,0.0008858310177604
0.2,0.0188,4.122901163867979
0.225,0.0052,8.785744361637141
0.075,0.0008,0.0010023489896677
0.2625,0.0037,12.151779164179104
0.2375,0.0195,4.906700732814527
0.1875,0.0037,8.22584351948052
0.0625,0.0173,0.0010223727784397
0.0875,0.0082,0.0012191536940899
0.0375,0.0278,0.000913489355729
0.2625,0.0248,4.818817904118009
0.025,0.0248,0.0009524797169702
0.0625,0.0188,0.0009717838197169
0.05,0.0143,0.0009348960892249
0.15,0.0015,8.225804056301984
0.1625,0.015,3.3162463968350577
0.1125,0.0248,0.0027646809301629
0.2875,0.0082,8.932381470959596
0.1125,0.0052,0.0019619123333107
0.175,0.0293,2.799156456996149
0.0875,0.0248,0.0013765947560448
0.25,0.0105,6.972618544891641
0.1,0.024,0.0014559300766563
0.05,0.0075,0.0009745799382898
0.225,0.0285,3.877325454545456
0.0125,0.0255,0.0009970723753013
0.1375,0.0023,4.818521930277599
0.2,0.0158,4.477286539772727
0.225,0.0248,4.1424878950276245
0.2875,0.003,14.753474159292033
0.125,0.0293,0.9977439481481484
0.05,0.0263,0.0010350501371653
0.05,0.0008,0.0008237193113329
0.1875,0.0225,3.4798366808769794
0.25,0.0008,25.839250928167875
0.1875,0.012,4.672405332091868
0.0,0.0128,0.0010976198206175
0.1,0.027,0.0016987632280885
0.225,0.0165,5.024063320634921
0.05,0.0173,0.0009866981549873
0.15,0.0,92.0694
0.2125,0.024,3.9473687299551
0.125,0.021,0.997671768844221
0.225,0.003,11.59016078309509
0.275,0.0285,4.695876491569391
0.075,0.0075,0.001050065179894
0.1,0.0023,0.0015657224114421
0.1625,0.0218,2.8096983009708736
0.2875,0.0113,7.6665941133004925
0.0625,0.006,0.0009659185702245
0.125,0.0015,0.9967425740120562
0.2,0.015,4.58237471559633
0.125,0.0173,0.9973630720663266
0.15,0.0233,2.301894971061093
0.175,0.0173,3.548556835205992
0.25,0.0285,4.3061006972477065
0.225,0.012,5.859337458703939
0.125,0.027,0.9974466409007912
0.0875,0.027,0.0014708927956977
0.025,0.0285,0.0009139938883512
0.2875,0.018,6.091809080318823
0.1875,0.0278,3.163377385180649
0.0875,0.0188,0.0012508271450747
0.2625,0.021,5.214352170495768
0.0875,0.0158,0.0013346029259034
0.0625,0.0203,0.0010591615469882
0.0375,0.0045,0.0008838176022748
0.1625,0.009,4.202907991400491
0.1125,0.0023,0.0020674042037067
0.25,0.0293,4.253580940070505
0.2625,0.0203,5.306538986529827
0.15,0.0128,2.9733361901639346
0.2125,0.0278,3.68929302017291
0.2125,0.0105,5.859327902899528
0.0375,0.0037,0.0009317267823732
0.275,0.0225,5.259773907637656
0.2125,0.0015,15.307866063348415
0.0375,0.0233,0.0008877796844255
0.225,0.0195,4.638071187050359
0.1375,0.0225,1.7942211124473844
0.05,0.003,0.0009162243277738
0.1375,0.0255,1.7197077185368876
0.2625,0.0045,11.100483451842274
0.275,0.0188,5.744480445269017
0.0875,0.0173,0.0012439348911359
0.2125,0.0263,3.785755471471472
0.1875,0.0293,3.089532104930467
0.2875,0.0105,7.931192199754902
0.0125,0.018,0.0009782517756605
0.2625,0.0158,5.99328999370277
0.025,0.0015,0.0008971914472082
0.1625,0.012,3.67395621086262
0.225,0.0075,7.371033486801719
0.1625,0.0158,3.243699747692308
0.275,0.015,6.403065404364571
0.0625,0.0285,0.0010476751686886
0.1375,0.0113,2.3327075186567168
0.0125,0.015,0.0009749048492288
0.1375,0.0082,2.6565610779961952
0.175,0.0067,5.534243052434457
0.1375,0.003,4.202764369482977
0.2125,0.0293,3.6006076323797926
0.1625,0.0082,4.379441744332493
0.2625,0.0278,4.562755743329098
0.0625,0.0015,0.0009399577596093
0.0,0.0,0.0010184484668757
0.2125,0.0195,4.352834714027694
0.1375,0.0218,1.81534778340722
0.2,0.009,5.859314003795067
0.125,0.0135,0.9973790217252396
0.075,0.0105,0.0010556005572551
0.0625,0.0097,0.0009524824384115
0.2375,0.0113,6.403013247549019
0.225,0.0188,4.725674878787879
0.0125,0.0082,0.0009112769605932
0.05,0.0135,0.0008488215839047
0.225,0.0203,4.555420194113964
0.2875,0.0052,11.17177247043364
0.1125,0.0075,0.0021283581255485
0.2375,0.006,8.717739178525227
0.05,0.018,0.0008779226622748
0.225,0.018,4.8188070838252655
0.0375,0.0023,0.0009689385836086
0.1625,0.006,5.098748795779018
0.275,0.012,7.141335424164525
0.2875,0.0255,5.146773520504731
0.0625,0.012,0.0009415027363031
0.075,0.0037,0.0010957856082053
0.0125,0.0128,0.0009297376395951
0.0375,0.0015,0.0009083748040382
0.0125,0.0008,0.0009532491297683
0.0375,0.015,0.0009274528409906
0.0125,0.0188,0.0009271834790664
0.1625,0.0165,3.176271953951462
0.1625,0.0097,4.047522452208306
0.0125,0.0278,0.0009748724158875
0.025,0.0105,0.0008762913594988
0.2625,0.0052,10.28400440636475
0.175,0.0158,3.700888801521877
0.125,0.006,0.9956327042253522
0.2375,0.0128,6.02435241984271
0.0875,0.024,0.0013743849631551
0.075,0.0233,0.0010488102713014
0.025,0.0255,0.0009828407071618
0.1625,0.0173,3.113421719706242
0.025,0.0097,0.0008808601042058
0.2625,0.0,21.1398
0.1375,0.009,2.5597161622276023
0.225,0.0045,9.480923768976895
0.075,0.021,0.000999496148151
0.125,0.003,0.9961030526315792
0.1625,0.003,7.141310290135396
0.2375,0.018,5.098917860665844
0.1375,0.0052,3.243504884169884
0.05,0.024,0.0010489774682022
0.225,0.0135,5.53429000643915
0.1125,0.0165,0.00256983997072
0.175,0.012,4.202918405524168
0.1625,0.0188,2.9995638778135048
0.125,0.018,0.9973565453423812
0.2,0.0105,5.437792995974698
0.1,0.0278,0.0018418535402644
0.2625,0.0015,19.174579069767443
0.025,0.0293,0.0008594204068589
0.125,0.0037,0.9973791329153604
0.275,0.009,8.225924486486488
0.2375,0.0278,4.149058595041322
0.1875,0.015,4.203001791510611
0.175,0.0023,9.480835085932528
0.175,0.0188,3.415411776110069
0.2375,0.0255,4.318064143920595
0.0625,0.0135,0.0009475659061281
0.25,0.006,9.183254406349208
0.15,0.0135,2.8990587338501297
0.1625,0.0233,2.729368616883117
0.2375,0.0203,4.818813515482695
0.1,0.0293,0.0018731899054903
0.0,0.0248,0.0011204854626104
0.2125,0.003,10.847348050314466
0.2,0.0233,3.7284215929739553
0.0875,0.0,0.0012123530875335
0.25,0.0015,18.28474018264841
0.075,0.0218,0.0011321773584563
0.0375,0.0135,0.000895500928719
0.2,0.0255,3.572572677165354
0.1875,0.003,9.183226473583703
0.05,0.0045,0.0009317215022723
0.225,0.0255,4.084702964329643
0.1375,0.0263,1.703458947019867
0.2,0.0067,6.741127158647594
0.2125,0.006,7.702708351231839
0.1875,0.0188,3.7856789063444105
0.15,0.0195,2.474898854818523
0.1875,0.0135,4.417767887667888
0.075,0.0255,0.001081687257332
0.2875,0.0218,5.5573477845404735
0.2375,0.0045,10.049836880733944
0.1625,0.027,2.559925113427345
0.025,0.021,0.0008684638743359
0.275,0.003,14.177375470085472
0.275,0.018,5.859396768687462
0.2625,0.0143,6.292502714460784
0.1,0.0263,0.0015354401579239
0.0125,0.0045,0.0009392204494066
0.125,0.0233,0.9978341164736164
0.275,0.0173,5.981762954822955
0.0875,0.015,0.0013647948447037
0.1,0.009,0.0015826192571588
0.1875,0.0075,5.859307612748045
0.1,0.0045,0.0014026303345352
0.0125,0.0293,0.0010238115302637
0.1625,0.0263,2.590819871559633
0.0375,0.0128,0.0008943500687066
0.2625,0.0285,4.505216694966646
0.225,0.0293,3.830680416422287
0.275,0.0097,7.908043470873786
0.1125,0.0067,0.0020386711993937
0.15,0.0188,2.515998320659062
0.1125,0.0008,0.0019451606453217
0.0375,0.0143,0.0008963553965613
0.275,0.0015,20.02493863636364
0.0,0.0195,0.001157133973733
0.175,0.0248,3.0131223812580235
0.0625,0.0082,0.0009440015906612
0.1625,0.0143,3.3946772570640937
0.05,0.027,0.0010104819983281
0.125,0.0218,0.9978332860858258
0.025,0.0128,0.000859662962659
0.2375,0.021,4.735732777093596
0.05,0.021,0.0009515933035843
0.0625,0.0052,0.001019611411467
0.025,0.0188,0.0008998454142208
0.0875,0.0015,0.001310551789837
0.2625,0.006,9.626287041009466
0.0,0.027,0.0011351767994316
0.25,0.0158,5.722326837658419
0.1,0.0195,0.0015149461123484
0.05,0.0105,0.0009923585457443
0.1,0.0158,0.0015336194747245
0.1,0.0008,0.0014644264789309
0.075,0.0045,0.0010147670779284
0.05,0.0195,0.0009394339106149
0.1875,0.0248,3.3315243297671486
0.0875,0.0097,0.001158454177005
0.025,0.0052,0.0009171143578603
0.175,0.0008,16.360462887903736
0.0,0.0165,0.0010694684431632
0.2375,0.027,4.203039270334928
0.0625,0.0008,0.0009383851676303
0.0875,0.0128,0.0012956909525907
0.2875,0.021,5.652537239263804
0.2875,0.012,7.427374324817518
0.0,0.003,0.00110773654294
0.2875,0.0188,5.97204306122449
0.0,0.0067,0.0010618000228684
0.2125,0.0082,6.589569829545455
0.2625,0.024,4.890367766467066
0.1375,0.0233,1.7740422758620689
0.0875,0.0255,0.0014068520259137
0.075,0.0225,0.0009858608973951
0.05,0.009,0.0009322612229929
0.2125,0.0218,4.1340500307125305
0.275,0.0203,5.534268354651163
0.2,0.0,45.1985
0.1,0.0113,0.0016309159992199
0.0375,0.0,0.0008805999060798
0.25,0.024,4.6724970190534725
0.1375,0.024,1.7549598768632533
0.0375,0.0195,0.0008713911119433
0.2875,0.0143,6.827349029247045
0.0,0.0075,0.0010538030422086
0.2125,0.0113,5.666512726737338
0.2375,0.0218,4.65705613650998
0.2625,0.0008,27.0985530472103
0.1125,0.0045,0.0018588396397519
0.2875,0.0,16.7224
0.15,0.003,5.859251494404214
0.175,0.0052,6.252463357664233
0.15,0.0218,2.3653857525083613
0.2,0.0225,3.785734360189574
0.1125,0.012,0.002225232686136
0.05,0.0165,0.0009182413116332
0.0375,0.0188,0.0009661717119868
0.2125,0.0225,4.068692745901639
0.1,0.0233,0.0014583933221904
0.225,0.0067,7.76263592616168
0.2875,0.0023,17.02613365003959
0.1875,0.018,3.8583753584447145
0.1125,0.0128,0.0022100195041105
0.0125,0.0285,0.0010241870552664
0.0375,0.0082,0.0009065191492859
0.225,0.015,5.259786137888956
0.2125,0.021,4.20298962962963
0.2375,0.012,6.20470852049911
0.1125,0.0097,0.0020407889895866
0.05,0.0203,0.0009064602876039
0.2625,0.0195,5.404062549504951
0.025,0.0278,0.0009514173349458
0.1875,0.0023,10.588147271531888
0.275,0.0105,7.625065987767583
0.0125,0.0105,0.0010345005284671
0.075,0.0263,0.0011370188214121
0.225,0.0233,4.266477091463415
0.1125,0.0135,0.0021616971296918
0.025,0.0195,0.0008355575945784
0.1,0.021,0.0016509619411241
0.25,0.021,4.980793381070984
0.075,0.006,0.0010942633993935
0.15,0.0105,3.243653073170732
0.25,0.0195,5.161390537135278
0.2375,0.015,5.567661327774214
0.2375,0.024,4.443942341581171
0.125,0.0128,0.9975525910523
0.1,0.0067,0.0014141364895353
0.2375,0.0052,9.31199385518591
0.0,0.0278,0.0010436020138715
0.1,0.015,0.0014312698329982
0.2875,0.024,5.2992743285371695
0.0125,0.0158,0.0009797796886201
0.275,0.0263,4.884269296740994
0.175,0.0165,3.6220705545399134
0.05,0.0052,0.0008516124479528
0.075,0.0278,0.0010090947570308
0.15,0.0052,4.477217252952144
0.0,0.0097,0.0010866839682074
0.1125,0.0218,0.0024253952763876
0.275,0.0128,6.93237084923077
0.15,0.0278,2.1449344295302013
0.275,0.0293,4.638082691815857
0.2,0.0263,3.525206643878185
0.275,0.0113,7.3710669380087666
0.2,0.0218,3.8459634306569344
0.1875,0.021,3.592101154562384
0.175,0.0195,3.354833262764632
0.1125,0.0285,0.0030903793187689
0.2375,0.009,7.141319808061419
0.0375,0.003,0.0008984409572573
0.25,0.018,5.364361927562922
0.0125,0.0135,0.000952103740647
0.0125,0.009,0.0010154049250048
0.125,0.0158,0.9975562861736336
0.1375,0.0188,1.914116418696511
0.1875,0.0105,4.980756764525994
0.2625,0.0082,8.225906072796935
0.275,0.0248,5.024079981424149
0.25,0.0233,4.743843253918495
0.0875,0.0105,0.0013470610489249
0.2625,0.0263,4.68517878313253
0.25,0.0113,6.741134876084263
0.0875,0.006,0.0011765830254667
0.1,0.0188,0.0015974065030012
0.175,0.021,3.2437598670694867
0.0,0.0293,0.0010839570411755
0.1125,0.0255,0.0026340226993552
0.05,0.0158,0.0010055550111624
0.1875,0.024,3.378568061968408
0.2625,0.0188,5.507457374401914
0.0,0.0045,0.0010757385192363
0.175,0.024,3.054744780285036
0.125,0.0165,0.9976768999332888
0.0375,0.021,0.0009118595749489
0.1375,0.0293,1.6449019916267942
0.1875,0.0218,3.534451453634085
0.1375,0.018,1.9427530199252805
0.1,0.0128,0.0013882360701139
0.1875,0.0,39.4666
0.1125,0.0278,0.0027520023758414
0.1875,0.0113,4.818734897218863
0.0375,0.006,0.0008680516119933
0.2875,0.0278,4.941905491259795
0.0,0.0233,0.0011072333254994
0.025,0.012,0.0009133568748017
0.2875,0.0067,9.863833981818182
0.225,0.0225,4.333136729141475
0.0125,0.024,0.0009525163741766
0.2125,0.0188,4.434568414707655
0.125,0.0248,0.9976915444221776
0.2875,0.0075,9.363016611464968
0.0,0.0225,0.0010958872015517
0.0,0.0263,0.0010605694344639
0.275,0.0045,11.590190328697853
0.15,0.0293,2.101575190972222
0.2625,0.0113,7.063109596823456
0.05,0.0128,0.0009459355576573
0.275,0.0165,6.112482291666666
0.1875,0.0263,3.243748332354668
0.05,0.015,0.0009093990721507
0.2,0.018,4.202968740390301
0.025,0.003,0.0008854718056897
0.2125,0.0128,5.333776972833118
0.2125,0.0165,4.712823154442457
0.0,0.018,0.0010580132671345
0.1125,0.018,0.0023287894796593
0.175,0.0263,2.935413957553059
0.15,0.0158,2.7103875994781474
0.25,0.0045,10.588176575505347
0.2125,0.0,37.1857
0.275,0.006,10.049838334353948
0.2875,0.0135,7.010498195718656
0.0375,0.024,0.0009662312657936
0.025,0.015,0.0008898056995691
0.2,0.0173,4.288297426829268
0.2625,0.0128,6.6434839160401005
0.025,0.0113,0.0009074098899332
0.025,0.009,0.0009823390440615
